Boat Type Main,Length,Width,Material,Boat Condition,Engine Type,Country,Price_Range_€,Price_Eur,N. views 7d grouped,N. views last 7d,Age Group,Year Built,F1
Motor Yacht,16,5,Wood,Used boat,Unknown,Italy,lower_50K,40000,Very High (171-1000),636,1976-1990,1981,151
Cabin Boat,7,3,Plastic,Used boat,Unknown,Switzerland,lower_50K,9120,Very High (171-1000),635,1976-1990,1976,152
Motor Yacht,12,3,GRP,Used boat,Unknown,Switzerland,50K-150K,79680,Very High (171-1000),633,1976-1990,1989,153
Cabin Boat,10,3,GRP,Used boat,Unknown,Germany,lower_50K,21000,Very High (171-1000),631,1900-1975,1973,154
Wakeboard/Wakesurf,8,3,GRP,Used boat,Unknown,Switzerland,50K-150K,65280,Very High (171-1000),631,2011-2015,2010,155
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,33600,Very High (171-1000),630,2011-2015,2012,156
Motor Yacht,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,19104,Very High (171-1000),628,1976-1990,1986,157
Sport Boat,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,12960,Very High (171-1000),628,1991-2000,1995,158
Motor Yacht,7,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,7680,Very High (171-1000),628,1900-1975,1973,159
Hardtop,10,4,GRP,Used boat,Unknown,Switzerland,300K-1M,316320,Very High (171-1000),622,2016-2020,2019,160
Sport Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,14400,Very High (171-1000),622,1976-1990,1980,161
Sport Boat,6,2,GRP,Used boat,Unknown,Germany,lower_50K,29800,Very High (171-1000),622,2001-2010,2005,162
Sport Boat,7,3,GRP,Used boat,Unknown,Belgium,lower_50K,43000,Very High (171-1000),621,2011-2015,2013,163
Sport Boat,7,2,GRP,Used boat,Unknown,Germany,lower_50K,14800,Very High (171-1000),621,1991-2000,1991,164
Bowrider,9,2,GRP,new boat from stock,Unknown,Switzerland,150K-300K,228975,Very High (171-1000),620,2016-2020,2019,165
Cabin Boat,6,2,GRP,Used boat,Unknown,Germany,lower_50K,8736,Very High (171-1000),620,1991-2000,1992,166
Sport Boat,9,3,GRP,Used boat,Unknown,Switzerland,lower_50K,40320,Very High (171-1000),620,2001-2010,2000,167
Cabin Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,9120,Very High (171-1000),619,1900-1975,1969,168
Cabin Boat,8,2,GRP,Used boat,Unknown,Switzerland,lower_50K,25440,Very High (171-1000),619,1976-1990,1989,169
Bowrider,9,3,GRP,Used boat,Unknown,Switzerland,50K-150K,69120,Very High (171-1000),617,2001-2010,2005,170
Sport Boat,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,8160,Very High (171-1000),613,1976-1990,1979,171
Mega Yacht,22,5,GRP,Used boat,Unknown,Italy,300K-1M,339000,Very High (171-1000),612,2001-2010,2001,172
Motor Yacht,10,3,GRP,Used boat,Unknown,Switzerland,lower_50K,38304,Very High (171-1000),612,1991-2000,1994,173
Classic,5,2,Wood,Used boat,Unknown,Switzerland,lower_50K,24000,Very High (171-1000),611,1900-1975,1960,174
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,24960,Very High (171-1000),607,1991-2000,1995,175
Motor Yacht,9,3,GRP,Used boat,Unknown,Italy,lower_50K,24900,Very High (171-1000),605,1991-2000,1996,176
Wakeboard/Wakesurf,7,3,GRP,Display Model,Unknown,Switzerland,150K-300K,177600,Very High (171-1000),605,2016-2020,2019,177
Motor Yacht,8,2,GRP,Used boat,Unknown,Switzerland,lower_50K,23904,Very High (171-1000),605,1991-2000,1990,178
Sport Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,14304,Very High (171-1000),604,1976-1990,1986,179
Runabout,10,3,GRP,Used boat,Unknown,Switzerland,150K-300K,288000,Very High (171-1000),603,2016-2020,2019,180
Flybridge,30,7,GRP,Used boat,Unknown,Spain,Higher_1M,5959500,Very High (171-1000),603,2016-2020,2018,181
Sport Boat,5,2,GRP,Used boat,Unknown,Switzerland,lower_50K,12000,Very High (171-1000),599,1991-2000,1992,182
Wakeboard/Wakesurf,7,3,Plastic,Used boat,Unknown,Switzerland,50K-150K,79200,Very High (171-1000),599,2011-2015,2012,183
Motor Yacht,8,3,GRP,Used boat,Unknown,Germany,50K-150K,59500,Very High (171-1000),598,1991-2000,1999,184
Bowrider,8,2,GRP,Display Model,Unknown,Switzerland,50K-150K,150000,Very High (171-1000),598,2016-2020,2017,185
Mega Yacht,47,9,Aluminium,Used boat,Unknown,Italy,Higher_1M,6950000,Very High (171-1000),597,1991-2000,1998,186
Sport Boat,10,3,GRP,Used boat,Unknown,Switzerland,50K-150K,65760,Very High (171-1000),597,2001-2010,2007,187
Sport Boat,6,3,Carbon Fiber,Used boat,Unknown,Poland,lower_50K,33000,Very High (171-1000),596,2001-2010,2006,188
Classic,5,2,Wood,Used boat,Unknown,Switzerland,lower_50K,27840,Very High (171-1000),595,1900-1975,1967,189
Sport Boat,6,2,Plastic,Used boat,Unknown,Switzerland,lower_50K,7680,Very High (171-1000),594,1976-1990,1982,190
Cabin Boat,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,21120,Very High (171-1000),593,1976-1990,1978,191
Cabin Boat,3,8,Plastic,Used boat,Unknown,Switzerland,lower_50K,16320,Very High (171-1000),589,1976-1990,1985,192
Offshore Boat,9,2,GRP,Used boat,Unknown,Switzerland,lower_50K,17280,Very High (171-1000),586,1976-1990,1989,193
Cabin Boat,8,3,GRP,Used boat,Unknown,Italy,lower_50K,32000,Very High (171-1000),586,2011-2015,2011,194
Sport Boat,9,3,GRP,Used boat,Unknown,Italy,lower_50K,10000,Very High (171-1000),585,1991-2000,1993,195
Sport Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,40800,Very High (171-1000),585,2001-2010,2005,196
Deck Boat,7,3,GRP,Used boat,Unknown,Switzerland,lower_50K,17664,Very High (171-1000),583,1991-2000,1995,197
Motor Yacht,9,3,GRP,Used boat,Unknown,Netherlands,50K-150K,98000,Very High (171-1000),582,2001-2010,2009,198
Classic,7,2,Wood,Used boat,Unknown,Switzerland,50K-150K,59520,Very High (171-1000),581,1976-1990,1983,199
Sport Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,28800,Very High (171-1000),581,1991-2000,1990,200
Trawler,9,3,GRP,Used boat,Unknown,Italy,lower_50K,29500,Very High (171-1000),578,2001-2010,2000,201
Wakeboard/Wakesurf,6,3,Unknown,Used boat,Unknown,Switzerland,50K-150K,52800,Very High (171-1000),578,2011-2015,2014,202
Classic,19,5,Wood,Used boat,Unknown,France,150K-300K,278400,Very High (171-1000),578,1900-1975,1967,203
Classic,6,2,Wood,Used boat,Unknown,Switzerland,50K-150K,99000,Very High (171-1000),577,1900-1975,1962,204
Cabin Boat,10,3,Steel,Used boat,Unknown,Switzerland,lower_50K,31680,Very High (171-1000),576,1991-2000,1991,205
Motor Yacht,8,3,GRP,Used boat,Unknown,Switzerland,lower_50K,46560,Very High (171-1000),575,2001-2010,2000,206
Bowrider,4,2,GRP,Used boat,Unknown,Switzerland,lower_50K,6720,Very High (171-1000),574,2001-2010,2000,207
Classic,7,2,Wood,Used boat,Unknown,Switzerland,50K-150K,114240,Very High (171-1000),573,1991-2000,1996,208
Motor Yacht,11,4,GRP,new boat from stock,Unknown,Switzerland,300K-1M,331200,Very High (171-1000),571,Unknown,2020,209
Sport Boat,6,2,Wood,Used boat,Unknown,Switzerland,lower_50K,43200,Very High (171-1000),567,1900-1975,1973,210
Classic,6,2,Wood,Used boat,Unknown,Germany,lower_50K,47500,Very High (171-1000),566,1976-1990,1979,211
Sport Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,9504,Very High (171-1000),565,1976-1990,1980,212
Cabin Boat,16,4,Carbon Fiber,Used boat,Unknown,Spain,150K-300K,165000,Very High (171-1000),565,2001-2010,2007,213
Runabout,7,2,GRP,new boat on order,Unknown,Switzerland,50K-150K,57600,Very High (171-1000),562,2001-2010,2009,214
Cabin Boat,7,2,GRP,Used boat,Unknown,Switzerland,lower_50K,7200,Very High (171-1000),561,1976-1990,1985,215
Classic,7,2,Wood,Used boat,Unknown,Switzerland,50K-150K,86400,Very High (171-1000),555,2001-2010,2004,216
Sport Boat,14,4,GRP,new boat from stock,Unknown,Switzerland,300K-1M,776179,Very High (171-1000),554,Unknown,2020,217
Sport Boat,10,3,Plastic,Used boat,Unknown,Spain,lower_50K,29500,Very High (171-1000),550,1976-1990,1984,218
Bowrider,6,2,GRP,Used boat,Unknown,Switzerland,lower_50K,27360,Very High (171-1000),549,2011-2015,2014,219
Runabout,7,3,GRP,Used boat,Unknown,Denmark,300K-1M,596792.54,Very High (171-1000),548,2001-2010,2006,220
