Year Built,Price_Eur,Length,Width,N. views last 7d
2020,2600000.0,23.4,6.5,375
1990,18000.0,7.96,2.47,375
1998,27360.0,7.5,2.28,374
1992,71500.0,13.2,4.05,373
1991,22000.0,10.8,2.5,373
2001,39900.0,8.38,2.85,372
2006,66240.0,8.74,2.59,372
2020,862705.0,13.91,3.9,372
2020,187200.0,8.23,2.59,371
2003,37500.0,7.62,2.49,371
1989,10900.0,7.5,2.5,371
1990,12480.0,5.6,2.1,371
1990,36000.0,7.6,2.43,371
1970,12000.0,7.75,2.65,370
1992,47040.0,9.6,3.05,370
2020,683079.36,11.72,3.33,370
2020,285450.0,10.7,3.1,370
2008,53332.8,6.85,2.49,370
1990,80160.0,5.9,2.12,370
2002,16000.0,7.2,2.5,369
1985,9900.0,7.3,2.96,369
2010,92160.0,7.57,2.25,369
2013,50000.0,6.6,2.59,368
1995,19500.0,9.0,2.0,368
2020,385380.0,11.49,3.49,368
2002,27360.0,6.4,2.59,368
2019,425310.0,13.46,3.9,367
1988,182400.0,15.0,4.85,367
2006,48000.0,8.25,2.6,366
1967,38304.0,11.0,3.2,366
2016,113000.0,7.4,2.59,365
2019,25728.0,5.5,2.29,365
1939,79000.0,26.32,6.05,365
2019,12384.0,4.5,1.75,365
1993,47040.0,9.73,2.97,365
1987,24000.0,6.4,2.36,365
2007,125000.0,10.67,3.6,364
1991,132480.0,11.5,3.7,364
2020,57035.0,8.4,2.8,363
2004,29900.0,7.32,2.55,363
1989,47904.0,5.3,2.12,363
2003,85920.0,9.39,2.95,363
2020,219000.0,10.9,3.6,363
2002,44160.0,8.55,2.59,363
2017,80000.0,9.5,3.0,362
1972,9800.0,10.0,3.0,362
2001,22950.0,6.4,2.5,362
1990,34800.0,9.45,3.42,361
2020,87785.0,7.99,2.54,361
1971,135000.0,20.5,5.3,360
1969,81120.0,6.4,2.25,360
1992,41088.0,9.24,3.1,359
2014,280000.0,13.84,4.01,359
1992,28704.0,7.75,2.48,359
1973,8000.0,13.4,3.6,358
2020,157692.0,7.47,2.5,358
2006,25000.0,7.0,2.5,358
1999,19700.0,5.8,2.49,357
2014,130000.0,14.6,6.0,357
2016,169000.0,10.8,3.45,357
1980,14900.0,9.1,3.14,356
2006,3200000.0,34.1,8.2,356
1982,2900000.0,53.5,7.7,356
1979,17900.0,9.6,3.0,355
1998,36480.0,11.5,2.85,355
2014,133440.0,9.12,3.35,355
2003,16500.0,5.4,2.04,355
1989,70000.0,11.0,3.86,355
1980,19900.0,9.0,3.0,355
1996,2051500.0,7.3,2.5,355
2020,4499.0,4.4,1.8,354
2020,14550.0,5.5,2.17,354
1994,16000.0,8.7,2.55,354
1980,34900.0,11.7,3.5,353
1979,8990.0,7.4,2.54,353
1999,28000.0,8.6,2.5,353
1979,49000.0,12.5,3.8,352
1978,22000.0,10.45,3.43,352
2007,25920.0,6.0,1.85,352
2003,69900.0,9.47,2.89,352
2008,55000.0,9.8,2.9,352
2020,24673.92,5.45,2.16,352
1991,49000.0,10.0,2.44,352
1990,85440.0,9.7,3.2,351
2014,27900.0,5.99,2.21,351
1992,32640.0,7.85,2.54,351
2021,1234430.82,18.24,4.7,351
2019,28900.0,6.5,2.55,350
1975,8500.0,6.8,2.45,350
1997,59520.0,9.48,2.95,350
2012,695000.0,13.4,3.88,350
2012,248000.0,13.5,4.0,350
1965,71904.0,6.07,2.2,350
2020,671154.0,15.6,4.61,350
2011,69000.0,10.15,2.96,349
2004,49500.0,8.95,2.8,349
1961,95520.0,6.6,2.4,348
2006,85000.0,12.3,3.8,348
1992,65280.0,8.6,3.28,348
2020,54999.0,7.76,2.86,348
1984,49800.0,10.0,3.75,347
2000,2499100.0,9.6,3.35,347
1987,36500.0,9.9,3.6,346
2005,137000.0,9.8,3.2,346
2015,239000.0,10.9,3.35,346
2009,49000.0,7.12,2.49,346
1991,9900.0,5.85,1.8,345
2020,9950.0,4.45,1.95,345
2013,440000.0,13.33,3.4,345
1974,5950.0,5.2,2.06,345
2016,249600.0,8.21,2.5,344
2020,13920.0,5.9,2.2,344
1985,39000.0,11.0,3.5,344
2020,35424.0,5.75,2.26,343
2006,119000.0,9.35,3.35,343
2009,20000.0,6.1,2.24,342
1988,24500.0,9.75,3.1,342
2020,235000.0,10.45,3.37,342
2013,99999.0,10.5,3.5,342
1992,17184.0,7.2,2.41,342
1993,59000.0,12.0,3.6,342
2008,35000.0,12.0,4.27,342
1992,16000.0,7.5,2.5,341
2020,132000.0,8.18,2.49,341
1999,79000.0,13.68,4.1,341
2020,16976.64,4.7,2.02,341
2019,59963.0,6.71,2.54,341
2008,45000.0,7.49,2.55,341
2020,11040.0,4.9,1.9,341
1984,24000.0,9.5,3.14,340
2004,79500.0,10.2,3.2,340
2005,22560.0,6.02,1.55,340
2001,9000.0,7.15,2.59,340
1989,39000.0,12.9,3.7,340
2017,103680.0,6.55,2.59,340
2016,259200.0,9.99,2.98,340
1975,10900.0,9.0,2.75,339
1991,19190.4,7.22,2.57,339
2019,17529.6,5.01,2.01,339
2001,34560.0,7.5,2.51,338
1989,6000.0,5.3,2.03,338
1996,95000.0,12.0,3.9,337
2019,80707.2,6.5,2.55,337
2008,22944.0,6.05,2.45,337
1997,7500.0,5.8,2.2,336
1992,81600.0,10.2,3.3,336
1992,25000.0,8.2,2.7,336
2020,87272.64,8.1,2.55,336
1949,60000.0,67.04,8.26,336
1973,88000.0,10.35,3.2,335
2006,61000.0,9.5,3.45,335
2001,18144.0,5.71,2.34,335
1988,14304.0,2.5,6.7,334
2011,195000.0,14.99,4.41,334
1993,18000.0,8.0,2.94,334
1991,25000.0,9.3,2.7,334
2010,99000.0,7.17,2.25,333
1998,140000.0,13.5,4.45,333
1981,9990.0,6.3,2.5,333
2007,164000.0,12.8,4.1,333
2003,18000.0,6.2,2.0,333
1988,74900.0,12.3,2.65,333
1994,13332.48,5.8,2.47,333
2007,460000.0,19.22,5.06,333
2004,89000.0,8.45,2.68,332
1977,163200.0,17.5,4.66,331
2005,2750000.0,32.9,6.3,331
2004,19000.0,7.92,2.59,331
1997,17472.0,6.5,2.5,331
2010,196800.0,11.74,3.78,331
1991,65000.0,10.8,3.15,331
1999,76800.0,13.15,3.3,331
2011,4000.0,6.37,2.31,330
2006,105000.0,10.21,3.46,330
1975,29500.0,9.8,3.15,330
2020,52800.0,6.2,2.54,329
2002,97000.0,12.5,3.7,329
2020,83520.0,7.8,2.42,329
2005,61500.0,10.69,3.49,329
2005,69000.0,9.1,3.48,329
2016,42990.0,7.5,2.49,328
2020,99490.0,10.6,3.0,328
1996,35000.0,9.22,3.29,328
2019,114708.0,7.85,2.49,328
1992,15264.0,6.2,2.43,328
1986,82080.0,9.7,3.2,328
2019,139200.0,9.29,2.99,328
2020,89481.59999999999,7.49,2.55,327
1979,12000.0,6.5,2.2,327
2019,370560.0,9.48,2.94,327
2007,160000.0,11.73,3.84,327
1991,21600.0,7.5,2.35,327
2001,71808.0,11.82,3.45,327
2005,36900.0,7.2,2.55,326
2004,76704.0,10.8,3.0,326
1985,72000.0,5.9,2.12,326
2007,36480.0,7.3,2.59,325
2019,124712.0,11.0,3.5,325
1994,59000.0,14.15,3.3,325
2017,105504.0,6.86,2.59,325
2019,429000.0,11.73,3.35,325
1998,14950000.0,54.5,10.0,325
2021,179343.36,8.78,2.6,325
2001,13900.0,5.85,1.9,325
2020,18690.0,6.1,2.4,324
2020,184611.0,8.8,2.59,324
2020,37920.0,6.05,2.21,324
2000,68500.0,9.14,3.04,324
1970,30000.0,10.0,3.25,324
1991,6500.0,4.5,2.1,324
1992,65000.0,16.4,4.99,323
2020,437270.4,12.64,3.99,323
2004,749000.0,21.57,5.25,322
1958,78800.0,11.2,2.55,322
2007,40000.0,9.2,2.59,321
2010,142800.0,9.96,3.46,321
1987,25900.0,8.26,2.57,321
2006,20640.0,5.21,2.1,321
2015,8300.0,3.1,1.4,321
1972,10444000.0,14.55,4.84,320
1992,31680.0,7.8,2.85,320
1992,36480.0,5.3,2.14,320
1983,12288.0,5.4,2.1,320
1998,57504.0,10.0,3.16,320
2009,47500.0,8.5,2.3,320
2021,238360.0,9.6,2.94,319
1972,21024.0,7.8,2.6,319
1989,12960.0,5.78,2.08,319
1998,229000.0,28.58,4.8,319
2020,32470.08,5.79,2.29,318
1987,59520.0,9.8,2.93,318
1976,59000.0,12.0,3.5,318
2017,401280.0,12.95,3.78,317
2006,349000.0,18.12,4.76,317
1992,19190.4,7.2,2.41,317
2016,98000.0,8.5,2.99,317
1987,35000.0,9.3,3.2,317
2019,11900000.0,35.36,7.35,317
2020,54106.0,6.2,2.4,317
2021,390930.0,9.86,3.25,316
2006,69600.0,6.0,2.2,316
2020,44999.0,7.88,2.55,316
2018,93024.0,6.4,2.59,316
2018,20000.0,5.35,2.1,316
2008,87500.0,14.8,4.0,315
